SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,254 E Cottage St #3,Boston,MA,02125,625000,4,2.0,Dorchester,1993,2683,1905,30,314,300,Active,,,http://www.redfin.com/MA/Boston/254-E-Cottage-St-02125/home/9319485,MLS PIN,72248546,N,Y,42.3188233,-71.0583922
MLS Listing,,Condo/Co-op,47 Saint Botolph St #301,Boston,MA,02116,889999,2,2.0,Back Bay,1038,,1899,40,857,320,Active,,,http://www.redfin.com/MA/Boston/47-Saint-Botolph-St-02116/unit-301/home/9306697,MLS PIN,72243870,N,Y,42.3463197,-71.0794567
MLS Listing,,Multi-Family (2-4 Unit),416 Hyde Park Ave,Boston,MA,02131,599900,2,2.5,Boston,1900,2700,1955,66,316,,Active,,,http://www.redfin.com/MA/Boston/416-Hyde-Park-Ave-02131/home/9167198,MLS PIN,72232272,N,Y,42.2863044,-71.1184163
MLS Listing,,Condo/Co-op,40 Fay St #407,Boston,MA,02118,699500,1,1.0,South End,648,648,2006,143,1079,388,Active,,,http://www.redfin.com/MA/Boston/40-Fay-St-02118/unit-407/home/21717899,MLS PIN,72193480,N,Y,42.3433672,-71.0648142
MLS Listing,,Townhouse,22 Constellation Wharf #22,Boston,MA,02129,1775000,3,3.5,Charlestown's Navy Yard,2800,,1987,160,634,1987,Active,,,http://www.redfin.com/MA/Boston/22-Constellation-Wharf-02129/unit-22/home/144225332,MLS PIN,72184540,N,Y,42.3748712,-71.0507953
MLS Listing,,Multi-Family (2-4 Unit),Thirty7 Fenton St,Boston,MA,02122,650000,3,4.0,Dorchester,1944,2600,1910,1,334,,Active,,,http://www.redfin.com/MA/Boston/Thirty7-Fenton-St-02122/home/144379566,MLS PIN,72258489,N,Y,42.2967146,-71.0527482
MLS Listing,,Townhouse,46 Alpine St #1,Boston,MA,02119,529999,2,2.5,Roxbury,1485,,2017,1,357,240,Active,,,http://www.redfin.com/MA/Boston/46-Alpine-St-02119/unit-1/home/144376682,MLS PIN,72258443,N,Y,42.325461,-71.086326
MLS Listing,,Single Family Residential,59 Rockdale St,Boston,MA,02126,529000,4,2.0,Mattapan,1792,5000,1910,1,295,,Active,December-2-2017 12:00 PM,December-2-2017 02:00 PM,http://www.redfin.com/MA/Boston/59-Rockdale-St-02126/home/9162201,MLS PIN,72258439,N,Y,42.2672694,-71.0979704
MLS Listing,,Multi-Family (2-4 Unit),282 Columbia Rd,Boston,MA,02121,350000,6,3.0,Dorchester,4248,2527,1935,1,82,,Active,,,http://www.redfin.com/MA/Boston/282-Columbia-Rd-02121/home/9070191,MLS PIN,72258434,N,Y,42.3091734,-71.0743224
MLS Listing,,Single Family Residential,112 Riverside Dr,Dedham,MA,02026,459980,3,1.0,Dedham,1240,5000,1948,1,371,,Active,,,http://www.redfin.com/MA/Dedham/112-Riverside-Dr-02026/home/8844619,MLS PIN,72258425,N,Y,42.2736907,-71.1761145
MLS Listing,,Multi-Family (2-4 Unit),1596 Columbia Rd,Boston,MA,02127,1999000,8,3.0,South Boston,3939,3020,1905,1,507,,Active,,,http://www.redfin.com/MA/Boston/1596-Columbia-Rd-02127/home/9193905,MLS PIN,72258390,N,Y,42.3300415,-71.0376404
MLS Listing,,Single Family Residential,13 Wenlock Rd,Boston,MA,02122,999000,3,2.5,Dorchester,3300,5000,2017,2,303,,Active,,,http://www.redfin.com/MA/Boston/13-Wenlock-Rd-02122/home/144359305,MLS PIN,72258216,N,Y,42.2847837,-71.0484612
MLS Listing,,Single Family Residential,30 Port Norfolk St,Boston,MA,02122,949000,3,3.5,Dorchester,3011,3323,2017,2,315,,Active,,,http://www.redfin.com/MA/Boston/30-Port-Norfolk-St-02122/home/144359289,MLS PIN,72258213,N,Y,42.290204,-71.0409359
MLS Listing,,Condo/Co-op,140 Shawmut Ave Unit 1B,Boston,MA,02118,649000,1,1.0,South End,654,,2017,2,992,219,Active,,,http://www.redfin.com/MA/Boston/140-Shawmut-Ave-02118/unit-1B/home/101105783,MLS PIN,72258173,N,Y,42.3459437,-71.06581
MLS Listing,,Condo/Co-op,510 Norfolk St #1,Boston,MA,02126,75000,4,1.0,Mattapan,1222,1136,1905,3,61,245,Active,,,http://www.redfin.com/MA/Boston/510-Norfolk-St-02126/unit-1/home/12428403,MLS PIN,72258151,N,Y,42.2790344,-71.0892336
